ClePrimaire;dateProd;codeINSEE;QuantiteProd;typeProd
;2014-02;44;7364;nucléaire
;2014-03;44;7051;nucléaire
;2014-04;44;5166;nucléaire
;2014-05;44;5725;nucléaire
;2014-06;44;5991;nucléaire
;2014-07;44;7544;nucléaire
;2014-08;44;7269;nucléaire
;2014-09;44;7549;nucléaire
;2014-10;44;7195;nucléaire
;2014-11;44;8199;nucléaire
;2014-12;44;8721;nucléaire
;2015-01;44;8398;nucléaire
;2015-02;44;6585;nucléaire
;2015-03;44;5235;nucléaire
;2015-04;44;5024;nucléaire
;2015-05;44;6711;nucléaire
;2015-06;44;6468;nucléaire
;2015-07;44;8330;nucléaire
;2015-08;44;7893;nucléaire
;2015-09;44;6346;nucléaire
;2015-10;44;7354;nucléaire
;2015-11;44;8143;nucléaire
;2015-12;44;8742;nucléaire
;2016-01;44;8893;nucléaire
;2016-02;44;7454;nucléaire
;2016-03;44;7336;nucléaire
;2016-04;44;7169;nucléaire
;2016-05;44;6349;nucléaire
;2016-06;44;5949;nucléaire
;2016-07;44;6435;nucléaire
;2016-08;44;5935;nucléaire
;2016-09;44;6688;nucléaire
;2016-10;44;6098;nucléaire
;2016-11;44;7187;nucléaire
;2016-12;44;7241;nucléaire
;2017-01;44;8442;nucléaire
;2017-02;44;6983;nucléaire
;2017-03;44;5529;nucléaire
;2017-04;44;5171;nucléaire
;2017-05;44;6211;nucléaire
;2017-06;44;6655;nucléaire
;2017-07;44;7488;nucléaire
;2017-08;44;5669;nucléaire
;2017-09;44;5414;nucléaire
;2017-10;44;5505;nucléaire
;2017-11;44;6257;nucléaire
;2017-12;44;7554;nucléaire
;2018-01;44;7965;nucléaire
;2018-02;44;7224;nucléaire
;2018-03;44;7122;nucléaire
;2018-04;44;5914;nucléaire
;2018-05;44;6851;nucléaire
;2018-06;44;6816;nucléaire
;2018-07;44;5505;nucléaire
;2018-08;44;3627;nucléaire
;2018-09;44;5590;nucléaire
;2018-10;44;6825;nucléaire
;2018-11;44;8369;nucléaire
;2018-12;44;8749;nucléaire
;2019-01;44;8456;nucléaire
;2019-02;44;6838;nucléaire
;2019-03;44;6889;nucléaire
;2019-04;44;6027;nucléaire
;2019-05;44;4948;nucléaire
;2019-06;44;4395;nucléaire
;2019-07;44;4418;nucléaire
;2019-08;44;4948;nucléaire
;2019-09;44;5087;nucléaire
;2019-10;44;7780;nucléaire
;2019-11;44;8088;nucléaire
;2019-12;44;8509;nucléaire
;2014-01;52;;nucléaire
;2014-02;52;;nucléaire
;2014-03;52;;nucléaire
;2014-04;52;;nucléaire
;2014-05;52;;nucléaire
;2014-06;52;;nucléaire
;2014-07;52;;nucléaire
;2014-08;52;;nucléaire
;2014-09;52;;nucléaire
;2014-10;52;;nucléaire
;2014-11;52;;nucléaire
;2014-12;52;;nucléaire
;2015-01;52;;nucléaire
;2015-02;52;;nucléaire
;2015-03;52;;nucléaire
;2015-04;52;;nucléaire
;2015-05;52;;nucléaire
;2015-06;52;;nucléaire
;2015-07;52;;nucléaire
;2015-08;52;;nucléaire
;2015-09;52;;nucléaire
;2015-10;52;;nucléaire
;2015-11;52;;nucléaire
;2015-12;52;;nucléaire
;2016-01;52;;nucléaire
;2016-02;52;;nucléaire
;2016-03;52;;nucléaire
;2016-04;52;;nucléaire
;2016-05;52;;nucléaire
;2016-06;52;;nucléaire
;2016-07;52;;nucléaire
;2016-08;52;;nucléaire
;2016-09;52;;nucléaire
;2016-10;52;;nucléaire
;2016-11;52;;nucléaire
;2016-12;52;;nucléaire
;2017-01;52;;nucléaire
;2017-02;52;;nucléaire
;2017-03;52;;nucléaire
;2017-04;52;;nucléaire
;2017-05;52;;nucléaire
;2017-06;52;;nucléaire
;2017-07;52;;nucléaire
;2017-08;52;;nucléaire
;2017-09;52;;nucléaire
;2017-10;52;;nucléaire
;2017-11;52;;nucléaire
;2017-12;52;;nucléaire
;2018-01;52;;nucléaire
;2018-02;52;;nucléaire
;2018-03;52;;nucléaire
;2018-04;52;;nucléaire
;2018-05;52;;nucléaire
;2018-06;52;;nucléaire
;2018-07;52;;nucléaire
;2018-08;52;;nucléaire
;2018-09;52;;nucléaire
;2018-10;52;;nucléaire
;2018-11;52;;nucléaire
;2018-12;52;;nucléaire
;2019-01;52;;nucléaire
;2019-02;52;;nucléaire
;2019-03;52;;nucléaire
;2019-04;52;;nucléaire
;2019-05;52;;nucléaire
;2019-06;52;;nucléaire
;2019-07;52;;nucléaire
;2019-08;52;;nucléaire
;2019-09;52;;nucléaire
;2019-10;52;;nucléaire
;2019-11;52;;nucléaire
;2019-12;52;;nucléaire
;2014-01;53;;nucléaire
;2014-02;53;;nucléaire
;2014-03;53;;nucléaire
;2014-04;53;;nucléaire
;2014-05;53;;nucléaire
;2014-06;53;;nucléaire
;2014-07;53;;nucléaire
;2014-08;53;;nucléaire
;2014-09;53;;nucléaire
;2014-10;53;;nucléaire
;2014-11;53;;nucléaire
;2014-12;53;;nucléaire
;2015-01;53;;nucléaire
;2015-02;53;;nucléaire
;2015-03;53;;nucléaire
;2015-04;53;;nucléaire
;2015-05;53;;nucléaire
;2015-06;53;;nucléaire
;2015-07;53;;nucléaire
;2015-08;53;;nucléaire
;2015-09;53;;nucléaire
;2015-10;53;;nucléaire
;2015-11;53;;nucléaire
;2015-12;53;;nucléaire
;2016-01;53;;nucléaire
;2016-02;53;;nucléaire
;2016-03;53;;nucléaire
;2016-04;53;;nucléaire
;2016-05;53;;nucléaire
;2016-06;53;;nucléaire
;2016-07;53;;nucléaire
;2016-08;53;;nucléaire
;2016-09;53;;nucléaire
;2016-10;53;;nucléaire
;2016-11;53;;nucléaire
;2016-12;53;;nucléaire
;2017-01;53;;nucléaire
;2017-02;53;;nucléaire
;2017-03;53;;nucléaire
;2017-04;53;;nucléaire
;2017-05;53;;nucléaire
;2017-06;53;;nucléaire
;2017-07;53;;nucléaire
;2017-08;53;;nucléaire
;2017-09;53;;nucléaire
;2017-10;53;;nucléaire
;2017-11;53;;nucléaire
;2017-12;53;;nucléaire
;2018-01;53;;nucléaire
;2018-02;53;;nucléaire
;2018-03;53;;nucléaire
;2018-04;53;;nucléaire
;2018-05;53;;nucléaire
;2018-06;53;;nucléaire
;2018-07;53;;nucléaire
;2018-08;53;;nucléaire
;2018-09;53;;nucléaire
;2018-10;53;;nucléaire
;2018-11;53;;nucléaire
;2018-12;53;;nucléaire
;2019-01;53;;nucléaire
;2019-02;53;;nucléaire
;2019-03;53;;nucléaire
;2019-04;53;;nucléaire
;2019-05;53;;nucléaire
;2019-06;53;;nucléaire
;2019-07;53;;nucléaire
;2019-08;53;;nucléaire
;2019-09;53;;nucléaire
;2019-10;53;;nucléaire
;2019-11;53;;nucléaire
;2019-12;53;;nucléaire
;2014-01;75;3871;nucléaire
;2014-02;75;3811;nucléaire
;2014-03;75;4284;nucléaire
;2014-04;75;4008;nucléaire
;2014-05;75;3523;nucléaire
;2014-06;75;3982;nucléaire
;2014-07;75;3446;nucléaire
;2014-08;75;2234;nucléaire
;2014-09;75;2802;nucléaire
;2014-10;75;2855;nucléaire
;2014-11;75;3532;nucléaire
